id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
16S_rRNA::Acidaminococcus-fermentans-DSM-20731_Node_0:1715389-1716944(-)_V3_V4_381_732_includelonghmm	0	6	352	1	100	100%
16S_rRNA::Acidaminococcus-fermentans-DSM-20731_Node_0:57713-59268(+)_V3_V4_381_732_includelonghmm	0	6	352	0	100.00%	100%
16S_rRNA::Acidaminococcus-fermentans-DSM-20731_Node_0:24678-26233(+)_V3_V4_381_732_includelonghmm	0	6	352	0	100.00%	100%
16S_rRNA::Acidaminococcus-fermentans-DSM-20731_Node_0:2076149-2077704(-)_V3_V4_381_732_includelonghmm	0	6	352	0	100.00%	100%
16S_rRNA::Acidaminococcus-fermentans-DSM-20731_Node_0:380482-382037(+)_V3_V4_381_732_includelonghmm	0	6	352	0	100.00%	100%
16S_rRNA::Acidaminococcus-fermentans-DSM-20731_Node_0:636984-638539(+)_V3_V4_381_732_includelonghmm	0	6	352	0	100.00%	100%
16S_rRNA::Acidaminococcus-sp-D21_Node_8:10-1565(-)_V3_V4_381_732_includelonghmm	1	1	352	1	100	100%
16S_rRNA::Dialister-invisus-DSM-15470_Node_0:828410-829976(-)_V3_V4_391_742_includelonghmm	2	3	352	1	100	100%
16S_rRNA::Dialister-invisus-DSM-15470_Node_0:1245171-1246737(-)_V3_V4_391_742_includelonghmm	2	3	352	0	100.00%	100%
16S_rRNA::Dialister-invisus-DSM-15470_Node_0:564702-566267(-)_V3_V4_391_742_includelonghmm	2	3	352	0	100.00%	100%
16S_rRNA::Granulicatella-adiacens-ATCC-49175_Node_4:3611-5156(-)_V3_V4_375_726_includelonghmm	3	1	352	1	100	100%
16S_rRNA::Lactobacillus-ruminis-ATCC-25644_Node_0:765507-767066(-)_V3_V4_390_741_includelonghmm	4	1	352	1	100	100%
16S_rRNA::Mitsuokella-multacida-DSM-20544_Node_5:400047-401606(-)_V3_V4_387_738_includelonghmm	5	2	352	1	100	100%
16S_rRNA::Mitsuokella-multacida-DSM-20544_Node_5:1013065-1014624(+)_V3_V4_387_738_includelonghmm	5	2	352	0	99.72%	100%
16S_rRNA::Streptococcus-thermophilus-MAF-ATCC-19258_Node_0:22775-24319(-)_V3_V4_375_726_includelonghmm	6	2	352	1	100	100%
16S_rRNA::Streptococcus-thermophilus-MAF-ATCC-19258_Node_0:82964-84508(-)_V3_V4_375_726_includelonghmm	6	2	352	0	100.00%	100%
